emoji,unicode,category,unicodename
🫵,\U0001faf5,emojis & people,---
🫵🏻,\U0001faf5\U0001f3fb,emojis & people,---
🫵🏼,\U0001faf5\U0001f3fc,emojis & people,---
🫵🏽,\U0001faf5\U0001f3fd,emojis & people,---
🫵🏾,\U0001faf5\U0001f3fe,emojis & people,---
🫵🏿,\U0001faf5\U0001f3ff,emojis & people,---
🦶,\U0001f9b6,emojis & people,FOOT
🦶🏻,\U0001f9b6\U0001f3fb,emojis & people,---
🦶🏼,\U0001f9b6\U0001f3fc,emojis & people,---
🦶🏽,\U0001f9b6\U0001f3fd,emojis & people,---
🦶🏾,\U0001f9b6\U0001f3fe,emojis & people,---
🦶🏿,\U0001f9b6\U0001f3ff,emojis & people,---
🦵,\U0001f9b5,emojis & people,LEG
🦵🏻,\U0001f9b5\U0001f3fb,emojis & people,---
🦵🏼,\U0001f9b5\U0001f3fc,emojis & people,---
🦵🏽,\U0001f9b5\U0001f3fd,emojis & people,---
🦵🏾,\U0001f9b5\U0001f3fe,emojis & people,---
🦵🏿,\U0001f9b5\U0001f3ff,emojis & people,---
🦿,\U0001f9bf,emojis & people,MECHANICAL LEG
💄,\U0001f484,emojis & people,LIPSTICK
💋,\U0001f48b,emojis & people,KISS MARK
👄,\U0001f444,emojis & people,MOUTH
🫦,\U0001fae6,emojis & people,---
🦷,\U0001f9b7,emojis & people,TOOTH
👅,\U0001f445,emojis & people,TONGUE
👂,\U0001f442,emojis & people,EAR
👂🏻,\U0001f442\U0001f3fb,emojis & people,---
👂🏼,\U0001f442\U0001f3fc,emojis & people,---
👂🏽,\U0001f442\U0001f3fd,emojis & people,---
👂🏾,\U0001f442\U0001f3fe,emojis & people,---
👂🏿,\U0001f442\U0001f3ff,emojis & people,---
🦻,\U0001f9bb,emojis & people,EAR WITH HEARING AID
🦻🏻,\U0001f9bb\U0001f3fb,emojis & people,---
🦻🏼,\U0001f9bb\U0001f3fc,emojis & people,---
🦻🏽,\U0001f9bb\U0001f3fd,emojis & people,---
🦻🏾,\U0001f9bb\U0001f3fe,emojis & people,---
🦻🏿,\U0001f9bb\U0001f3ff,emojis & people,---
👃,\U0001f443,emojis & people,NOSE
👃🏻,\U0001f443\U0001f3fb,emojis & people,---
👃🏼,\U0001f443\U0001f3fc,emojis & people,---
👃🏽,\U0001f443\U0001f3fd,emojis & people,---
👃🏾,\U0001f443\U0001f3fe,emojis & people,---
👃🏿,\U0001f443\U0001f3ff,emojis & people,---
👣,\U0001f463,emojis & people,FOOTPRINTS
👁️,\U0001f441\ufe0f,emojis & people,---
👀,\U0001f440,emojis & people,EYES
🫀,\U0001fac0,emojis & people,ANATOMICAL HEART
🫁,\U0001fac1,emojis & people,LUNGS
🧠,\U0001f9e0,emojis & people,BRAIN
🗣️,\U0001f5e3\ufe0f,emojis & people,---
👤,\U0001f464,emojis & people,BUST IN SILHOUETTE
